ZTF19aarykkb 258.341454 -9.964466 
ZTF19aarzaod 262.791487 -8.450722
ZTF19aasckwd 253.1643781 10.6022943 
ZTF19aasfogv 261.8430161 -11.3338523 
ZTF19aasejil 261.9458106 1.6537207 
ZTF19aaryxjf 254.5952784 -3.9847379 
ZTF19aascxux 258.2933102 17.2938689
ZTF19aasdajo 254.3550291 11.9961079 
ZTF19aasbamy 231.2656676 24.9275799 
ZTF19aasckkq 248.4131017 13.9101828 
ZTF19aarycuy 244.0832042 21.7409392 
ZTF19aasbphu 245.5831354 21.4081853 
ZTF19aasbaui 235.2496342 24.0816102 
ZTF19aarxxwb 288.6933231 -3.0075058 
ZTF19aashlts 253.1875476 -19.0941338
