mjd, filter, maglim 
58726.21275766, i, 24.1607057539243 
58726.21275766, i, 24.1911115217665 
58726.21275766, i, 24.1451733437018 
58726.21275766, i, 24.1421582574489 
58726.21275766, i, 24.0993674245039 
58726.21275766, i, 24.1594852275879 
58726.20667412, i, 23.7360889926176 
58726.21275766, i, 24.1961336894481 
58726.22747708, i, 24.1683151039143 
58726.19797998, i, 24.0188446365832 
58726.23977632, i, 24.1372423243894 
58726.22747708, i, 24.1636907470505 
58726.21275766, i, 24.1848486919766 
58726.20667412, i, 23.7701651946005 
58726.21275766, i, 24.1853501019509 
58726.20667412, i, 23.7617843652986 
58726.22747708, i, 24.1054082593754 
58726.23977632, i, 24.1800867018386 
58726.23977632, i, 24.1177504396372 
58726.22747708, i, 24.17526132815 
58726.25475886, i, 24.2677263979224 
58726.20667412, i, 23.7443314502505 
58726.20667412, i, 23.7285647368594 
58726.25475886, i, 24.2987857329198 
58726.21275766, i, 24.1563431811239 
58726.25475886, i, 24.3588033677564 
58726.2366036, i, 24.2612731781785 
58726.25763685, i, 24.3793200859167 
58726.25763685, i, 24.3448358346835 
58726.20667412, i, 23.7275076492051 
58726.19797998, i, 24.0110700090385 
58726.20667412, i, 23.6974110072911 
58726.20667412, i, 23.7441767295879 
58726.23372955, i, 24.1996362979299 
58726.20667412, i, 23.7096907948453 
58726.25763685, i, 24.3986274109624 
58726.19797998, i, 24.0609640079764 
58726.25763685, i, 24.246925778787 
58726.23977632, i, 24.1584858459752 
58726.20667412, i, 23.7285095061289 
58726.20954285, i, 23.9847949455314 
58726.25763685, i, 24.3834703522382 
58726.20667412, i, 23.6768669657414 
58726.25763685, i, 24.4055880523951 
58726.19797998, i, 24.0256268971486 
58726.20667412, i, 23.7386598241148 
58726.25763685, i, 24.2673703033227 
58726.25763685, i, 24.3689615352612 
58726.20667412, i, 23.6727709851326 
58726.20954285, i, 24.0428642871356 
58726.20954285, i, 24.0691495876928 
58726.20667412, i, 23.7364784513461 
58726.19797998, i, 24.0840245484622 
58726.19797998, i, 24.0600289939056 
58726.25763685, i, 24.2810904787684 
58726.25763685, i, 24.2041718058238 
58726.25763685, i, 24.3317111278741 
58726.25763685, i, 24.2755873801861 
58726.19797998, i, 24.0690978941052 
58726.25763685, i, 24.3467738705225 
58726.19797998, i, 24.053834582053 
58726.20667412, i, 23.6712944700441 
58726.23372955, i, 24.100074640157 
58726.19797998, i, 24.0582610586482 
58726.20667412, i, 23.756411314214 
58726.25763685, i, 24.4072265899906 
58726.19797998, i, 24.0838496170264 
58726.20954285, i, 24.0584042795769 
58726.19797998, i, 24.032446897575 
58726.24853861, i, 24.1333872417323 
58726.24853861, i, 24.2455078112226 
58726.20667412, i, 23.748486642252 
58726.23977632, i, 24.1231640922895 
58726.23977632, i, 24.1511239922916 
58726.25763685, i, 24.3765022633247 
58726.20667412, i, 23.7295262634989 
58726.19797998, i, 24.0669846638215 
58726.20667412, i, 23.7197995371211 
58726.24853861, i, 24.2617659430972 
58726.23372955, i, 24.1416943555908 
58726.20667412, i, 23.6441826381322 
58726.20667412, i, 23.7454187860938 
58726.25763685, i, 24.344132380324 
58726.20667412, i, 23.615656159947 
58726.25763685, i, 24.3944852643451 
58726.25763685, i, 24.3601932884295 
58726.25763685, i, 24.3420129031155 
58726.24853861, i, 24.1757191259175 
58726.23034788, i, 24.1601712650989 
58726.25763685, i, 24.3280951392054 
58726.20667412, i, 23.7486848847435 
58726.25763685, i, 24.318338258167 
58726.23034788, i, 24.135603805235 
58726.20089652, i, 24.0270816867935 
58726.20667412, i, 23.7190715810163 
58726.25763685, i, 24.3081410742211 
58726.2366036, i, 24.1862398641455 
58726.24853861, i, 24.1446731840384 
58726.22456902, i, 24.3935596269464 
58726.25763685, i, 24.2784772951722 
58726.19797998, i, 24.0691786151528 
58726.25475886, i, 24.3669061621876 
58726.20667412, i, 23.7407603381663 
58726.25763685, i, 24.3514888387207 
58726.20667412, i, 23.7676163134753 
58726.20667412, i, 23.7043930165003 
58726.20667412, i, 23.7126938536986 
58726.20667412, i, 23.7252850879698 
58726.20089652, i, 24.0430106534566 
58726.25763685, i, 24.3344230393077 
58726.19797998, i, 24.0482630253653 
58726.20667412, i, 23.6947423255216 
58726.20667412, i, 23.7543714557724 
58726.19797998, i, 24.0741866947705 
58726.24853861, i, 24.2217747569603 
58726.20667412, i, 23.6987901045019 
58726.22456902, i, 24.3486221528122 
58726.24853861, i, 24.1497757749133 
58726.24853861, i, 24.2278354355701 
58726.20667412, i, 23.7488889016198 
58726.20667412, i, 23.7233597554403 
58726.24853861, i, 24.2386566395758 
58726.25763685, i, 24.2876224977784 
58726.19797998, i, 24.0933383743043 
58726.25763685, i, 24.3243996310858 
58726.25763685, i, 24.2652003392135 
58726.25763685, i, 24.2773561667308 
58726.25763685, i, 24.3900683314579 
58726.25763685, i, 24.3476338517921 
58726.25763685, i, 24.376579605925 
58726.25763685, i, 24.3268556383336 
58726.25763685, i, 24.3950423076538 
58726.20667412, i, 23.7281077642413 
58726.20667412, i, 23.7569277547312 
58726.20667412, i, 23.6868411445561 
58726.24853861, i, 24.2285081296402 
58726.25763685, i, 24.3015524896456 
58726.25763685, i, 24.3359495081678 
58726.20667412, i, 23.6327825006119 
58726.19797998, i, 23.9656689591171 
58726.20667412, i, 23.7110269215223 
58726.20089652, i, 24.0435561794149 
58726.24853861, i, 24.2259626698559 
58726.2366036, i, 24.1795989932262 
58726.20667412, i, 23.7519533648244 
58726.20667412, i, 23.6867304244982 
58726.2366036, i, 24.258173712901 
58726.20667412, i, 23.7331252257821 
58726.20667412, i, 23.6944420153561 
58726.20667412, i, 23.7170672516468 
58726.20089652, i, 24.0283698629808 
58726.19797998, i, 24.0579325009481 
58726.2366036, i, 24.1618964442121 
58726.20667412, i, 23.7367279127774 
58726.20954285, i, 23.9931398750603 
58726.25763685, i, 24.2926983041101 
58726.2366036, i, 24.3085144253658 
58726.23977632, i, 24.1988182630389 
58726.19797998, i, 24.0940671866149 
58726.2366036, i, 24.2425315036478 
58726.2366036, i, 24.2455200624585 
58726.25763685, i, 24.4026551297615 
58726.20089652, i, 24.0347000276819 
58726.25763685, i, 24.3150092875622 
58726.20667412, i, 23.6646916797453 
58726.23977632, i, 24.1750696901615 
58726.23034788, i, 24.170338940284 
58726.20667412, i, 23.7190574993076 
58726.19797998, i, 24.0727231239883 
58726.19797998, i, 24.0648693564427 
58726.2366036, i, 24.2783179666164 
58726.20667412, i, 23.7333020235658 
58726.19797998, i, 23.9865213635832 
58726.19797998, i, 24.0682001747413 
58726.19797998, i, 24.0413319354482 
58726.20667412, i, 23.7002255547087 
58726.25763685, i, 24.3937653072607 
58726.22747708, i, 24.0672397461227 
58726.19797998, i, 24.0234013242361 
58726.25763685, i, 24.3335540014729 
58726.20667412, i, 23.7161003941734 
58726.20667412, i, 23.7177994540491 
58726.2366036, i, 24.1768806237961 
58726.20667412, i, 23.7163832318967 
58726.2514231, i, 24.2632014707002 
58726.2514231, i, 24.2598479013478 
58726.2514231, i, 24.2565230652624 
58726.2366036, i, 24.1640295428765 
58726.24853861, i, 24.2308372772174 
58726.19797998, i, 24.0616597127603 
58726.19797998, i, 24.0125995260829 
58726.20089652, i, 24.0097766398188 
58726.20667412, i, 23.6666808722509 
58726.2366036, i, 24.2782319869079 
58726.25763685, i, 24.3576083291202 
58726.25763685, i, 24.373187716649 
58726.25763685, i, 24.3567810569447 
58726.19797998, i, 24.0707704837691 
58726.25763685, i, 24.3701283086587 
58726.2366036, i, 24.2379157138089 
58726.19797998, i, 24.0022802784053 
58726.25763685, i, 24.2305860225851 
58726.20089652, i, 23.9608301836009 
58726.20089652, i, 24.0069386315787 
58726.2514231, i, 24.1597392017753 
58726.23977632, i, 24.0886162796199 
58726.20089652, i, 24.0342412270827 
58726.2366036, i, 24.3272722444265 
58726.23977632, i, 24.1966199341416 
58726.19797998, i, 24.0102847545877 
58726.2366036, i, 24.281268358585 
58726.20089652, i, 24.0183669192464 
58726.2366036, i, 24.2841888955773 
58726.25763685, i, 24.386155946359 
58726.2366036, i, 24.2407260557288 
58726.20089652, i, 23.9875729132906 
58726.19797998, i, 24.0395760502267 
58726.25763685, i, 24.3755420276818 
58726.19797998, i, 24.0693909134215 
58726.19797998, i, 24.0526731382901 
58726.24553982, i, 24.181933905219 
58726.2514231, i, 24.2807127870432 
58726.22747708, i, 24.1280727956021 
58726.23372955, i, 24.1123031788179 
58726.20089652, i, 23.9881405125755 
58726.2366036, i, 24.2424928292721 
58726.20089652, i, 23.9882483434186 
58726.2366036, i, 24.2532669357684 
58726.20089652, i, 24.009807041388 
58726.19797998, i, 24.0330847978288 
58726.25763685, i, 24.2625077756552 
58726.22747708, i, 24.1671638327938 
58726.2366036, i, 24.2410528127024 
58726.2366036, i, 24.1752819949997 
58726.24553982, i, 24.0717268879913 
58726.20089652, i, 24.0227086825082 
58726.20089652, i, 24.0243240134911 
58726.23977632, i, 24.1719306582452 
58726.20089652, i, 24.0235292626259 
58726.24853861, i, 24.2299876622852 
58726.20089652, i, 24.0052251550456 
58726.25763685, i, 24.37461313464 
58726.2366036, i, 24.2311120734788 
58726.2366036, i, 24.3003441911733 
58726.19797998, i, 23.9579157410353 
58726.25475886, i, 24.3421937834601 
58726.19797998, i, 23.9746595289526 
58726.19797998, i, 24.0924823448429 
58726.19797998, i, 24.0306852009752 
58726.20089652, i, 23.8756863996324 
58726.19797998, i, 24.0454698650635 
58726.19797998, i, 24.0871361261376 
58726.19797998, i, 24.0288808587477 
