ZTF19abyjcom 02:11:44.72 +12:02:00.0
ZTF19abyiwiw 22:42:05.15 +55:13:12.9
ZTF19abyjcoo 02:12:21.53 +12:17:51.7
ZTF19abyfhaq 20:12:35.66 +49:23:33.4
ZTF19abvizsw 18:37:53.48 +61:29:52.7
ZTF19abyjfiw 02:36:44.83 +34:38:50.3
ZTF19abvionh 16:55:00.22 +14:03:04.8
