,nightdate,jd,field,rcid,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,seeing,difffwhm,exptime,status,exitcode,ra0,Dec-00
5809,2023-06-02T03:55:46.998,2460097.6637384,616,0,184,2,234316373,2,19.44,18.8435,2.096,2.62614,30,1,7,121.17371,26.15
5810,2023-06-02T03:56:28.003,2460097.664213,663,1,162,2,234316421,2,19.54,18.9005,2.0018,2.56777,30,1,9,117.64379,33.35
5811,2023-06-02T03:57:09.000,2460097.6646875,707,0,162,2,234316468,2,19.515,18.8977,2.07435,2.6321399999999997,30,1,5,114.69867,40.55
5812,2023-06-02T03:57:49.997,2460097.665162,747,0,145,2,234316516,2,19.47,18.88135,2.1937499999999996,2.65365,30,1,7,110.12762,47.75
5813,2023-06-02T03:58:31.996,2460097.6656481,662,0,195,2,234316564,2,18.99,18.5537,2.37745,2.857625,30,1,2,109.7905,33.35
5814,2023-06-02T03:59:13.001,2460097.6661227,616,0,234,2,234316612,2,19.46,18.8808,2.2431,2.71831,30,1,6,121.17371,26.15
5815,2023-06-02T03:59:53.998,2460097.6665972,663,0,162,2,234316659,2,19.59,18.9506,2.09115,2.626135,30,1,6,117.64379,33.35
5816,2023-06-02T04:00:34.001,2460097.6670602,707,0,154,2,234316706,2,19.65,18.997300000000003,2.0317999999999996,2.60319,30,1,9,114.69867,40.55
5817,2023-06-02T04:01:14.998,2460097.6675347,747,0,180,2,234316753,2,19.73,19.012050000000002,1.9862000000000002,2.56408,30,1,4,110.12762,47.75
5818,2023-06-02T04:01:56.997,2460097.6680208,662,0,220,2,234316802,2,19.134999999999998,18.65485,2.29725,2.806335,30,1,1,109.7905,33.35
5819,2023-06-02T04:02:38.003,2460097.6684954,616,0,235,2,234316849,2,19.645,18.98505,2.1167,2.639335,30,1,7,121.17371,26.15
5820,2023-06-02T04:03:18.999,2460097.6689699,663,0,192,2,234316896,2,19.61,19.00215,2.1551,2.6797,30,1,2,117.64379,33.35
5821,2023-06-02T04:03:59.996,2460097.6694444,707,0,179,2,234316944,2,19.56,18.9526,2.3014,2.78714,30,1,8,114.69867,40.55
5822,2023-06-02T04:04:41.002,2460097.669919,747,0,201,2,234316991,2,19.56,18.9402,2.2906,2.76895,30,1,2,110.12762,47.75
5823,2023-06-02T04:05:21.998,2460097.6703935,662,0,224,2,234317039,2,19.035,18.6081,2.5532500000000002,3.01988,30,1,4,109.7905,33.35
