,nightdate,jd,field,rcid,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,seeing,difffwhm,exptime,status,exitcode,ra0,Dec-00
4244,2023-05-27T06:43:36.002,2460091.7802778,792,0,60,2,233728027,1,20.48,19.51565,2.7743,2.859835,10,1,24,213.41224,54.95
4245,2023-05-27T06:43:56.997,2460091.7805208,1794,0,26,2,233728052,1,20.49,19.52215,2.5839,2.798445,10,1,36,207.89836,51.35
4246,2023-05-27T06:45:02.998,2460091.7812847,1794,0,542,2,233728128,1,18.81,17.6222,2.613,2.86094,1,1,8,207.89836,51.35
4247,2023-05-27T06:45:31.000,2460091.7816088,792,0,48,2,233728160,1,20.275,19.1842,2.22365,2.5739150000000004,5,1,26,213.41224,54.95
4248,2023-05-27T06:46:03.996,2460091.7819907,1794,0,17,2,233728199,1,20.04,19.0273,2.6097,2.86315,5,1,39,207.89836,51.35
4249,2023-05-27T06:48:34.004,2460091.7837269,792,0,33,2,233728372,2,20.48,19.5221,2.4673,2.73684,10,1,32,213.41224,54.95
4250,2023-05-27T06:48:53.997,2460091.7839583,1794,1,46,2,233728395,2,20.634999999999998,19.6269,2.2195,2.5505,10,1,27,207.89836,51.35
4251,2023-05-27T06:49:59.998,2460091.7847222,1794,1,239,2,233728472,2,18.78,17.65975,2.60195,2.8993149999999996,1,1,19,207.89836,51.35
4252,2023-05-27T06:50:29.003,2460091.7850579,792,0,23,2,233728505,2,19.84,18.93275,2.68865,2.9988900000000003,5,1,41,213.41224,54.95
4253,2023-05-27T06:51:00.996,2460091.7854282,1794,1,26,2,233728542,2,20.195,19.10545,2.1723999999999997,2.55915,5,1,36,207.89836,51.35
4254,2023-05-27T06:53:31.004,2460091.7871644,792,0,21,2,233728716,3,19.700000000000003,18.8527,2.6477500000000003,2.982,10,1,40,213.41224,54.95
4255,2023-05-27T06:54:28.996,2460091.7878356,792,0,465,2,233728783,3,18.41,17.1186,2.2838,2.6738,1,1,15,213.41224,54.95
4256,2023-05-27T06:55:26.996,2460091.7885069,792,0,46,2,233728850,3,19.73,18.5686,2.0794,2.43911,5,1,26,213.41224,54.95
4257,2023-05-27T06:58:43.997,2460091.790787,273,0,475,3,233729078,2,20.03,19.5488,3.00975,3.264105,30,1,0,206.82086,-24.25
4258,2023-05-27T06:59:30.998,2460091.791331,474,0,359,1,233729133,2,20.53,19.8139,2.48605,2.84434,30,1,3,192.25,4.55
4259,2023-05-27T07:00:11.002,2460091.791794,525,0,192,2,233729179,2,20.54,19.7932,2.4444,2.82093,30,1,14,186.77489,11.57
4260,2023-05-27T07:01:14.998,2460091.7925347,278,0,1727,1,233729253,2,20.06,19.7058,2.9348,3.2006,30,1,0,243.248,-24.25
4261,2023-05-27T07:01:56.997,2460091.7930208,377,0,820,1,233729302,2,20.83,20.1299,2.2707,2.68794,30,1,0,231.13317,-9.85
4262,2023-05-27T07:02:54.004,2460091.7936806,526,0,169,1,233729368,2,20.775,19.9906,2.2640000000000002,2.68206,30,1,16,193.9,11.75
4263,2023-05-27T07:03:36.003,2460091.7941667,575,0,108,1,233729416,2,20.47,19.71095,2.4072500000000003,2.806335,30,1,19,180.3241,18.95
4264,2023-05-27T07:04:17.000,2460091.7946412,624,0,86,2,233729464,2,20.475,19.7576,2.505,2.866455,30,1,22,181.02743,26.15
4265,2023-05-27T07:04:57.996,2460091.7951157,671,0,70,2,233729511,2,20.46,19.7715,2.6887999999999996,2.97139,30,1,21,180.47007,33.35
4266,2023-05-27T07:05:39.002,2460091.7955903,625,0,453,3,233729559,2,21.06,20.682499999999997,2.9975,3.21831,300,1,1,188.50914,26.15
4267,2023-05-27T07:29:00.004,2460091.8118056,625,0,44,1,233731180,2,20.91,20.0358,2.0497,2.49796,30,0,34,188.50914,26.15
4268,2023-05-27T07:29:41.001,2460091.8122801,673,0,23,1,233731228,2,21.045,20.1991,2.1003,2.569,30,0,38,196.17664,33.35
4269,2023-05-27T07:30:21.997,2460091.8127546,674,0,27,1,233731275,2,21.28,20.3763,1.9412,2.442995,30,0,38,204.02993,33.35
4270,2023-05-27T07:32:13.004,2460091.8140394,279,0,3078,1,233731403,2,20.375,19.88145,2.3452,2.66908,30,1,0,250.53343,-24.25
4271,2023-05-27T07:32:52.999,2460091.8145023,328,0,1228,1,233731450,2,20.770000000000003,20.14845,2.1113999999999997,2.60319,30,1,0,241.46487,-17.05
4272,2023-05-27T07:33:37.002,2460091.8150116,480,0,312,1,233731501,2,21.225,20.420650000000002,2.0741,2.53061,30,1,2,233.30067,4.55
4273,2023-05-27T07:34:19.001,2460091.8154977,583,0,250,2,233731549,2,21.37,20.532,1.9377,2.46231,30,1,0,238.04173,18.95
4274,2023-05-27T07:34:59.998,2460091.8159722,632,0,181,2,233731597,2,21.31,20.4946,2.0076,2.52061,30,1,0,240.88114,26.15
4275,2023-05-27T07:35:44.002,2460091.8164815,481,0,324,2,233731648,2,21.3,20.47115,1.81425,2.4610250000000002,30,1,2,240.14244,4.55
4276,2023-05-27T07:36:24.998,2460091.816956,533,0,265,2,233731695,2,21.37,20.5241,1.8967,2.47765,30,1,3,243.02578,11.75
4277,2023-05-27T07:37:06.004,2460091.8174306,584,0,201,2,233731743,2,21.22,20.40115,2.11905,2.53917,30,1,4,245.31027,18.95
4278,2023-05-27T07:37:45.998,2460091.8178935,633,0,260,2,233731789,2,21.32,20.52545,2.1183,2.541815,30,1,1,248.36286,26.15
4279,2023-05-27T07:38:57.002,2460091.8187153,722,0,206,2,233731871,2,21.23,20.45665,2.47275,2.6738,30,1,3,243.95089,40.55
4280,2023-05-27T07:39:37.999,2460091.8191898,761,0,188,2,233731918,2,21.1,20.37575,2.64235,2.767805,30,1,5,243.82331,47.75
4281,2023-05-27T07:40:31.999,2460091.8198148,791,0,71,1,233731981,2,20.9,20.16645,2.33355,2.7275549999999997,30,1,23,202.40112,54.95
4282,2023-05-27T07:41:25.999,2460091.8204398,679,0,347,2,233732043,2,21.064999999999998,20.3596,2.46235,2.70083,30,1,8,243.29636,33.35
4283,2023-05-27T08:10:58.996,2460091.8409606,824,0,521,2,233734096,2,21.03,20.3279,3.0171,3.03449,30,1,8,246.66667,62.15
4284,2023-05-27T08:11:38.999,2460091.8414236,795,0,233,2,233734142,2,21.585,20.65675,2.0998,2.433925,30,1,3,246.70105,54.95
4285,2023-05-27T08:12:26.001,2460091.8419676,759,0,207,1,233734196,2,21.48,20.564,2.04845,2.52686,30,1,13,224.27392,47.75
4286,2023-05-27T08:13:06.997,2460091.8424421,719,0,96,1,233734244,2,21.29,20.4799,2.1989,2.52811,30,1,21,218.10044,40.55
4287,2023-05-27T08:13:52.997,2460091.8429745,630,0,216,1,233734297,2,21.45,20.580199999999998,2.04805,2.442995,30,1,3,225.91771,26.15
4288,2023-05-27T08:14:42.996,2460091.8435532,584,0,222,1,233734355,2,21.3,20.4992,2.2928,2.58981,30,1,4,245.31027,18.95
4289,2023-05-27T08:15:25.004,2460091.8440394,482,0,398,1,233734403,2,21.13,20.4009,2.2395,2.66908,30,1,0,246.98422,4.55
4290,2023-05-27T08:16:07.997,2460091.844537,484,0,687,1,233734453,2,21.09,20.5048,2.115,2.60198,30,1,1,260.66778,4.55
4291,2023-05-27T08:17:12.002,2460091.8452778,476,0,370,1,233734527,2,20.975,20.16675,2.2204499999999996,2.6321399999999997,30,1,3,205.93356,4.55
4292,2023-05-27T08:17:51.996,2460091.8457407,476,0,1473,3,233734574,2,21.96,21.3776,2.25305,2.6560300000000003,300,1,1,205.93356,4.55
4293,2023-05-27T08:23:03.002,2460091.8493403,425,0,581,1,233734934,2,20.915,20.1147,2.2083,2.62132,30,1,1,206.43,-2.65
4294,2023-05-27T08:23:45.001,2460091.8498264,527,0,131,1,233734982,2,21.09,20.2245,2.1188,2.54306,30,1,18,201.02511,11.75
4295,2023-05-27T08:24:28.996,2460091.8503356,673,0,659,3,233735033,2,21.915,21.291,2.75475,2.8142,300,1,1,196.17664,33.35
4296,2023-05-27T08:29:48.002,2460091.8540278,820,0,98,1,233735402,2,21.24,20.3639,2.2371,2.5542100000000003,30,1,19,193.33333,62.15
4297,2023-05-27T08:30:27.996,2460091.8544907,790,0,48,1,233735449,2,21.27,20.383,2.1723,2.54802,30,0,33,191.39,54.95
4298,2023-05-27T08:32:34.002,2460091.8559491,281,0,5607,1,233735594,2,20.22,20.0633,2.3827,2.64053,30,1,17,265.10429,-24.25
4299,2023-05-27T08:33:13.997,2460091.856412,332,0,5473,1,233735641,2,20.345,20.131300000000003,2.5092,2.7333749999999997,30,1,8,269.58765,-17.05
4300,2023-05-27T08:33:55.002,2460091.8568866,331,0,5441,1,233735688,2,20.51,20.2242,2.3013,2.59469,30,1,6,262.55696,-17.05
4301,2023-05-27T08:34:35.999,2460091.8573611,381,0,1685,1,233735736,2,21.04,20.4605,1.98475,2.49036,30,1,0,259.41183,-9.85
4302,2023-05-27T08:35:16.996,2460091.8578356,330,0,2888,1,233735783,2,20.985,20.51855,1.90865,2.496695,30,1,1,255.52626,-17.05
4303,2023-05-27T08:35:56.999,2460091.8582986,380,0,1023,1,233735829,2,21.105,20.4091,1.9542000000000002,2.46359,30,1,0,252.34217,-9.85
4304,2023-05-27T08:36:37.996,2460091.8587731,431,0,602,1,233735877,2,21.33,20.5883,1.9062000000000001,2.50427,30,1,0,248.97,-2.65
4305,2023-05-27T08:37:19.001,2460091.8592477,481,0,439,2,233735924,2,21.52,20.65775,1.8134000000000001,2.45202,30,1,0,240.14244,4.55
4306,2023-05-27T08:37:59.998,2460091.8597222,583,0,334,2,233735972,2,21.73,20.75405,1.73075,2.39469,30,1,0,238.04173,18.95
4307,2023-05-27T08:38:41.004,2460091.8601968,632,0,280,1,233736019,2,21.755000000000003,20.7989,1.72375,2.389405,30,1,1,240.88114,26.15
4308,2023-05-27T08:39:22.000,2460091.8606713,680,0,686,1,233736067,2,21.785,20.8264,1.69275,2.47382,30,1,2,251.14964,33.35
4309,2023-05-27T08:40:06.004,2460091.8611806,721,0,367,1,233736118,2,21.87,20.846249999999998,1.61395,2.329175,30,1,2,235.33407,40.55
4310,2023-05-27T08:40:49.999,2460091.8616898,723,0,492,1,233736168,2,21.78,20.844700000000003,1.68365,2.40784,30,1,1,252.5677,40.55
4311,2023-05-27T08:41:42.996,2460091.8623032,792,0,91,1,233736230,2,21.63,20.66005,1.8002500000000001,2.4157,30,0,32,213.41224,54.95
4312,2023-05-27T08:42:29.998,2460091.8628472,874,1,191,1,233736284,2,21.42,20.4334,1.7945,2.37881,30,1,0,220.0,83.75
4313,2023-05-27T08:43:17.000,2460091.8633912,792,0,1221,3,233736339,2,22.7,22.052599999999998,1.75775,2.25058,300,1,3,213.41224,54.95
4314,2023-05-27T08:48:28.999,2460091.8670023,720,0,251,1,233736700,2,21.615000000000002,20.67925,1.9677,2.50301,30,1,9,226.71726,40.55
4315,2023-05-27T08:49:10.004,2460091.8674769,677,0,335,1,233736747,2,21.735,20.7589,1.7501,2.38544,30,1,4,227.58979,33.35
4316,2023-05-27T08:49:51.001,2460091.8679514,678,0,304,1,233736795,2,21.755000000000003,20.811500000000002,1.7695500000000002,2.348085,30,1,2,235.44307,33.35
4317,2023-05-27T08:50:34.996,2460091.8684606,633,0,568,1,233736846,2,21.74,20.79145,1.772,2.49922,30,1,1,248.36286,26.15
4318,2023-05-27T08:51:16.001,2460091.8689352,584,0,406,2,233736893,2,21.76,20.808799999999998,1.65005,2.35748,30,1,0,245.31027,18.95
4319,2023-05-27T08:51:55.996,2460091.8693981,533,0,391,2,233736939,2,21.71,20.75865,1.7073,2.41831,30,1,1,243.02578,11.75
4320,2023-05-27T08:52:38.997,2460091.8698958,634,0,336,1,233736989,2,21.56,20.7325,1.81745,2.417005,30,1,1,255.84457,26.15
4321,2023-05-27T08:53:28.997,2460091.8704745,434,0,2316,1,233737047,2,21.23,20.6684,1.8504,2.42873,30,1,1,270.24,-2.65
4322,2023-05-27T08:54:10.996,2460091.8709606,487,0,2398,1,233737096,2,21.33,20.7748,1.755,2.45202,30,1,2,281.19311,4.55
4323,2023-05-27T08:54:54.999,2460091.8714699,333,0,4332,1,233737146,2,20.39,20.1242,2.1305,2.55792,30,1,12,276.64396,-17.05
4324,2023-05-27T08:55:35.996,2460091.8719444,282,1,2777,1,233737194,2,20.47,19.9982,2.1856,2.54057,30,1,23,272.44354,-24.25
4325,2023-05-27T08:56:47.000,2460091.8727662,577,0,61,1,233737276,2,21.055,20.21395,2.1318,2.61891,30,0,36,194.55043,18.95
4326,2023-05-27T08:57:39.997,2460091.8733796,819,0,101,1,233737337,2,21.25,20.33345,1.9635500000000001,2.52311,30,1,23,180.0,62.15
4327,2023-05-27T08:58:24.001,2460091.8738889,715,0,34,1,233737388,2,20.94,20.097949999999997,2.192,2.64769,30,0,33,183.63319,40.55
4328,2023-05-27T08:59:04.998,2460091.8743634,715,0,972,3,233737436,2,21.735,21.35745,2.59345,2.93611,300,1,11,183.63319,40.55
4329,2023-05-27T09:04:34.000,2460091.8781713,1720,0,280,2,233737817,2,21.625,20.668149999999997,1.8221,2.4091500000000003,30,1,2,238.26585,36.95
4330,2023-05-27T09:05:49.004,2460091.8790394,383,0,5459,1,233737903,2,21.03,20.65175,1.8904999999999998,2.534355,30,1,2,273.55117,-9.85
4331,2023-05-27T09:06:30.001,2460091.8795139,382,0,3331,1,233737951,2,21.05,20.6056,1.9025,2.48147,30,1,1,266.4815,-9.85
4332,2023-05-27T09:07:10.998,2460091.8799884,433,0,1350,1,233737998,2,21.23,20.6343,1.8313000000000001,2.41308,30,1,0,263.15,-2.65
4333,2023-05-27T09:07:51.001,2460091.8804514,485,0,1317,1,233738045,2,21.23,20.70945,1.87605,2.55915,30,1,1,267.50956,4.55
4334,2023-05-27T09:08:31.998,2460091.8809259,537,0,1266,1,233738092,2,21.23,20.68665,2.00645,2.55792,30,1,1,270.92622,11.75
4335,2023-05-27T09:09:13.003,2460091.8814005,587,0,815,1,233738140,2,21.439999999999998,20.798299999999998,1.7735500000000002,2.49543,30,1,1,267.11592,18.95
4336,2023-05-27T09:09:52.998,2460091.8818634,536,0,763,1,233738186,2,21.35,20.6648,1.9034,2.52561,30,1,1,263.95111,11.75
4337,2023-05-27T09:10:34.997,2460091.8823495,635,0,475,1,233738234,2,21.685000000000002,20.82915,1.66815,2.40522,30,1,1,263.32629,26.15
4338,2023-05-27T09:11:16.002,2460091.8828241,586,0,418,1,233738282,2,21.66,20.79955,1.6444999999999999,2.3960049999999997,30,1,0,259.84737,18.95
4339,2023-05-27T09:12:03.997,2460091.8833796,633,0,497,2,233738337,2,21.69,20.7538,1.80915,2.45974,30,1,0,248.36286,26.15
4340,2023-05-27T09:12:45.003,2460091.8838542,632,0,261,2,233738385,2,21.72,20.75255,1.7933,2.38544,30,1,2,240.88114,26.15
4341,2023-05-27T09:13:26.000,2460091.8843287,679,0,318,2,233738432,2,21.72,20.777749999999997,1.74005,2.34943,30,1,2,243.29636,33.35
4342,2023-05-27T09:14:09.001,2460091.8848264,681,0,631,1,233738482,2,21.785,20.859050000000003,1.7146,2.38941,30,1,2,259.00293,33.35
4343,2023-05-27T09:14:52.002,2460091.8853241,722,0,395,2,233738532,2,21.79,20.82525,1.7339,2.35077,30,1,0,243.95089,40.55
4344,2023-05-27T09:15:32.999,2460091.8857986,761,0,331,2,233738579,2,21.8,20.805799999999998,1.66555,2.296405,30,1,3,243.82331,47.75
4345,2023-05-27T09:16:17.003,2460091.8863079,724,0,756,1,233738630,2,21.835,20.8374,1.6468,2.4623049999999997,30,1,1,261.18452,40.55
4346,2023-05-27T09:16:57.999,2460091.8867824,762,0,399,1,233738678,2,21.82,20.837,1.6240999999999999,2.33865,30,1,2,253.598,47.75
4347,2023-05-27T09:17:38.996,2460091.8872569,795,0,367,2,233738725,2,21.66,20.723950000000002,1.8066,2.41831,30,1,0,246.70105,54.95
4348,2023-05-27T09:18:20.002,2460091.8877315,824,0,583,2,233738773,2,21.785,20.76555,1.71905,2.377485,30,1,1,246.66667,62.15
4349,2023-05-27T09:19:00.998,2460091.888206,796,0,441,1,233738820,2,21.76,20.8013,1.69955,2.3907299999999996,30,1,1,257.79854,54.95
4350,2023-05-27T09:19:42.004,2460091.8886806,763,0,544,1,233738868,2,21.8,20.7746,1.6085,2.43393,30,1,1,263.37269,47.75
