663 1 2019-09-25T11:46:37.3 20.5 
513 1 2019-09-24T10:38:11.5 20.5 
531 2 2019-09-24T02:44:39.6 20.5 
458 1 2019-09-25T11:02:49.4 20.5 
1704 2 2019-09-25T11:26:42.5 20.5 
615 1 2019-09-25T11:36:08.2 20.5 
409 1 2019-09-25T11:51:17.3 20.5 
613 1 2019-09-24T10:53:27.7 20.5 
712 2 2019-09-25T12:21:00.6 20.5 
709 1 2019-09-25T11:44:40.1 20.5 
708 1 2019-09-25T11:45:58.2 20.5 
407 1 2019-09-24T10:36:11.4 20.5 
1505 2 2019-09-24T12:26:36.1 20.5 
706 1 2019-09-24T10:41:30.6 20.5 
748 1 2019-09-25T11:38:04.9 20.5 
514 1 2019-09-25T11:49:16.8 20.5 
612 1 2019-09-24T10:39:30.1 20.5 
565 1 2019-09-25T11:47:58.2 20.5 
707 1 2019-09-25T11:37:26.0 20.5 
512 1 2019-09-24T10:37:32.3 20.5 
749 1 2019-09-25T11:45:19.1 20.5 
710 1 2019-09-25T11:44:00.0 20.5 
661 1 2019-09-24T10:40:11.3 20.5 
306 1 2019-09-24T10:57:27.3 20.5 
614 1 2019-09-25T11:47:19.1 20.5 
564 1 2019-09-24T10:54:06.6 20.5 
563 1 2019-09-24T10:38:50.6 20.5 
479 2 2019-09-24T02:42:24.3 20.5 
1557 2 2019-09-24T12:30:32.9 20.5 
662 1 2019-09-25T11:36:47.0 20.5 
408 1 2019-09-24T10:36:50.7 20.5 
355 1 2019-09-24T10:58:08.6 20.5 
357 1 2019-09-24T10:56:48.3 20.5 
750 1 2019-09-25T11:43:20.9 20.5 
