410 1 2019-12-06T08:32:00.4 20.5 30
461 1 2019-12-06T08:39:14.9 20.5 30
411 1 2019-12-06T08:39:53.8 20.5 30
462 1 2019-12-06T08:40:33.0 20.5 30
521 2 2019-12-06T08:46:02.0 20.5 150
521 2 2019-12-06T08:51:04.5 20.5 150
469 2 2019-12-06T09:04:39.3 20.5 150
469 2 2019-12-06T09:09:34.6 20.5 150
522 2 2019-12-06T09:15:38.8 20.5 150
522 2 2019-12-06T09:20:41.4 20.5 150
470 2 2019-12-06T09:31:42.1 20.5 150
470 2 2019-12-06T09:36:37.6 20.5 150
411 1 2019-12-06T09:41:12.5 20.5 30
523 2 2019-12-06T09:42:15.6 20.5 150
523 2 2019-12-06T09:47:18.4 20.5 150
461 1 2019-12-06T09:51:59.5 20.5 30
419 2 2019-12-06T09:53:00.9 20.5 150
419 2 2019-12-06T09:57:46.7 20.5 150
471 2 2019-12-06T10:02:36.4 20.5 150
471 2 2019-12-06T10:07:38.3 20.5 150
412 1 2019-12-06T10:12:23.6 20.5 30
462 1 2019-12-06T10:13:02.8 20.5 30
467 1 2019-12-06T12:08:44.2 20.5 30
519 1 2019-12-06T12:09:23.4 20.5 30
570 1 2019-12-06T12:10:02.7 20.5 30
520 1 2019-12-06T12:10:41.6 20.5 30
571 1 2019-12-06T12:11:20.5 20.5 30
620 1 2019-12-06T12:11:59.8 20.5 30
572 1 2019-12-06T12:12:39.6 20.5 30
621 1 2019-12-06T12:13:18.8 20.5 30
622 1 2019-12-06T12:13:58.3 20.5 30
667 1 2019-12-06T12:14:42.3 20.5 30
668 1 2019-12-06T12:15:22.2 20.5 30
668 1 2019-12-06T12:59:29.1 20.5 30
621 1 2019-12-06T13:00:16.0 20.5 30
417 1 2019-12-06T13:01:03.8 20.5 30
468 1 2019-12-06T13:01:42.9 20.5 30
520 1 2019-12-06T13:02:22.3 20.5 30
467 1 2019-12-06T13:03:01.1 20.5 30
570 1 2019-12-06T13:03:42.8 20.5 30
373 2 2019-12-06T13:15:27.6 20.5 30
322 2 2019-12-06T13:16:06.8 20.5 30
373 2 2019-12-06T13:22:18.4 20.5 30
322 2 2019-12-06T13:22:57.4 20.5 30
373 2 2019-12-06T13:29:08.8 20.5 30
322 2 2019-12-06T13:29:47.7 20.5 30
373 2 2019-12-06T13:35:59.6 20.5 30
322 2 2019-12-06T13:36:38.6 20.5 30
